Local Authority,Code,GB cover percent,% homes with good access to nature,KtCO2e,NO2ug/m3 mean 2013,Income,2011 Affordability,Unemployment Rate,All visitors (£ millions),Tourists Ratio,life expectancy avg,Persons aged 0 to 4,Persons aged 5 to 14,Persons aged 15 to 24,Persons aged 25 to 44,Persons aged 45 to 64,Persons aged 65 to 89,Persons aged 90 and over,Persons who are white,Persons who have mixed ethnicity or are from multiple ethnic groups,Persons who are Asian/Asian British: Indian,Persons who are Asian/Asian British: Pakistani,Persons who are Asian/Asian British: Bangladeshi,Persons who are Asian/Asian British: Chinese and Other,Persons who are Black/African/Caribbean/Black British,Persons who are Arab or from other ethnic groups,marriedpercentage,high edu percentage,Grade
City of London,E09000001,13.311089059337997,0.0,1373.561645,53.357142857142854,59240.0,8.66,9.246875,695.0,0.28215928268085977,63.11670234374999,236.0,351.0,742.0,3001.0,2010.0,993.0,42.0,5799.0,289.0,216.0,16.0,232.0,476.0,193.0,154.0,0.34818652849740933,0.6836417468541821,476.2322580645162
Barking and Dagenham,E09000002,45.29927062818809,71.70588235294117,716.4796918,31.62857142857143,27360.0,6.56,12.6,120.0,0.0834953579934866,58.373325,18676.0,27088.0,25638.0,58434.0,36754.0,18360.0,961.0,108386.0,7878.0,7436.0,8007.0,7701.0,6450.0,37140.0,2913.0,0.42073786633530263,0.20866487904485767,465.9
Barnet,E09000003,58.686071418455136,82.33333333333333,1477.064889,33.81575757575759,38120.0,10.08,7.4,578.0,0.07523241133937794,69.404195,26239.0,43645.0,44493.0,115289.0,79288.0,44542.0,2890.0,228553.0,17169.0,27920.0,5344.0,2215.0,30439.0,27431.0,17315.0,0.46992046840001134,0.4033818650939919,485.9
Bexley,E09000004,49.724120250548374,83.19047619047619,977.6154975,29.74069767441862,34440.0,6.77,7.6,240.0,0.08595173684723854,65.616085,15182.0,29033.0,30660.0,61187.0,58723.0,35506.0,1706.0,189962.0,5395.0,7047.0,730.0,777.0,6689.0,19624.0,1773.0,0.4792252929279785,0.21767490280918067,505.6
Brent,E09000005,40.96772036567503,82.0952380952381,1115.862183,36.07211538461537,30370.0,11.19,11.4,374.0,0.06898245154531168,63.01586,22446.0,36590.0,42787.0,110986.0,65730.0,31489.0,1187.0,112880.0,15775.0,58017.0,14381.0,1749.0,31839.0,58632.0,17942.0,0.434894428837067,0.33252702670068984,438.8
Bromley,E09000006,68.73553716484385,82.45454545454545,1225.903921,28.770731707317072,40150.0,8.06,6.9,414.0,0.1156618707152735,67.9119,20095.0,36673.0,34031.0,86019.0,80537.0,49308.0,2729.0,260870.0,10897.0,6215.0,1014.0,1265.0,7573.0,18686.0,2872.0,0.48514907196771784,0.33079588112826863,508.4
Camden,E09000007,44.18826200917205,70.55555555555556,1484.4878019999999,44.84821428571426,41120.0,13.96,8.0,1525.0,0.1405847393035353,63.36745,13168.0,20492.0,34386.0,85496.0,42819.0,22882.0,1095.0,146055.0,12322.0,6083.0,1489.0,12503.0,15371.0,18060.0,8455.0,0.30385724253947305,0.5054983691507142,438.5
Croydon,E09000008,55.661463358010735,70.33333333333333,1343.1136060000001,31.518831168831166,34730.0,7.27,9.8,454.0,0.10929772345379409,64.300905,27972.0,46226.0,47157.0,110131.0,87517.0,42354.0,2021.0,200195.0,23895.0,24660.0,10865.0,2570.0,21532.0,73256.0,6405.0,0.432018377024498,0.31773185866858034,508.1
Ealing,E09000009,44.898701894383755,74.82608695652173,1451.874281,36.313559322033896,34140.0,9.42,9.1,567.0,0.0730685584771188,61.35318,25426.0,39428.0,43225.0,121444.0,72699.0,34594.0,1633.0,165818.0,15066.0,48240.0,14711.0,1786.0,35702.0,36860.0,20266.0,0.444997996824596,0.370350036353924,466.3
Enfield,E09000010,58.11105394249396,54.04761904761905,1286.2069279999998,31.524299065420568,31340.0,8.26,11.5,316.0,0.10748207191404603,63.15975,24513.0,41235.0,42237.0,95142.0,70506.0,37000.0,1833.0,190640.0,17183.0,11648.0,2594.0,5599.0,15052.0,53687.0,16063.0,0.4423277586455777,0.2871630957045347,453.0
